Departement,Nom commune,Nom de la chaufferie,Nom Maître d'ouvrage,Contact Maître d'ouvrage,Nom Exploitant,Contact Exploitant,Nom installateur/constructeur,Nom fournisseur biomasse,Année de mise en service,Année de mise en arret ou de rénovation,État chaufferie au plus récent,Aide ADEME,Aide Région,Aide autres,AAP concerné,Nombre de chaudières,Type chaufferie,Catégorie chaufferie,Secteurs desservis,Marque chaudière,Puissance biomasse totale (kW),Classe puissance totale,Puissance d'appoint (kW),Type d'appoint,Type approvisionnement,Tonnes  PFA (IDF),Tonnes CIB (IDF),Tonnes BFVBD (IDF),Tonnes GR (IDF),Total IDF,Tonnes PFA (hors IDF),Tonnes CIB (hors IDF),Tonnes BFVBD (hors IDF),Tonnes GR (hors IDF),Total Hors IDF,Non-précisé,Total,Production estimée (TEP/an),Production_estim_MWh,classe production
95,PONTOISE,Rue Séré-Depoin,"SDC représenté par son syndic, SERGIC",,,,,,2009,,2 - En fonctionnement,,oui,,,1,Collective,Chaufferie dédiée,Résidentiel,,90,<1 MW,,,,,,,,0,,,,,0,51,51,10.12,117.6956,<1 200 MWh/an
95,PUISEUX-PONTOISE,Centre horticole,Communauté d'Agglomération de Cergy-Pontoise,,,,,,2011,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Agriculture,,250,<1 MW,0,,"Connexes industrie du bois et plaquettes forestières, appro interne - CIB + PF",201.4285714,0,0,0,201.4285714,,,,,0,,201.4285714,66,767.58,<1 200 MWh/an
95,ROISSY-EN-FRANCE,Chaufferie biomasse de Roissy,ADP,,,,Weiss,Groupement ONF/Picardie Energie Bois,2013,,2 - En fonctionnement,oui,,,BCIAT 2010,2,Industrielle,Réseau de chaleur existant,,Vyncke,14000,>1 MW,0,,75%PF + 25% plaquette urbaine (PBFV),15600,0,,,15600,34920,,,,34920,,50520,6607,76839.41,>1 200 MWh/an
95,SAINT-LEU-LA-FORÊT,Collège LANDOWSKI,Département du Val d'Oise,,IDEX Energies,,,,2008,,2 - En fonctionnement,oui,oui,,,1,Collective,Chaufferie dédiée,Tertiaire,,360,<1 MW,0,,Plaquettes forestières,300,0,0,0,300,,,,,0,,300,69,802.47,<1 200 MWh/an
95,SAINT-OUEN-L'AUMÔNE,Chaufferie RCU Cergy-Pontoise,Communauté d'agglomération de Cergy Pontoise,,Coriance (CenergY),,,SYLVENERGIE,2009,,2 - En fonctionnement,,oui,,,1,Collective,Réseau de chaleur existant,Résidentiel/Tertiaire,,25000,>1 MW,0,,Produits connexes de scieries (Picardie) - Bois d'élagage/d'abattage - Refus de criblage de compost,8040,,4620,0,12660,3900,,6600,,10500,,23160,10300,119789,>1 200 MWh/an
95,THÉMÉRICOURT,Chaufferie communale Théméricourt,Commune de Théméricourt,,Régie,,,,2010,,2 - En fonctionnement,,,,,1,Collective,Chaufferie dédiée,Résidentiel Tertiaire,,60,<1 MW,,,Granulés,,,,,0,,,,,0,,0,,0,
95,VIENNE-EN-ARTHIES,Ferme des Millonets,Ferme des Millonets,,,,,,2007,,2 - En fonctionnement,oui,,,,1,Collective,Chaufferie dédiée,Agriculture,,70,<1 MW,0,,Plaquettes forestières élagage,25,0,0,0,25,,,,,0,,25,5,58.15,<1 200 MWh/an
92,VAUCRESSON,Haras de Jardy,Conseil Général 92,,,,Weya,,,,2 - En fonctionnement,,,,,1,Collective,,,,50,<1 MW,,,,,,,,0,,,,,0,,0,,,
92,VAUCRESSON,Club Housse Vaucresson,Conseil Général 92,,,,Weya,,,,2 - En fonctionnement,,,,,1,Collective,,,,200,<1 MW,,,,,,,,0,,,,,0,,0,,,
77,JOUY-LE-CHÂTEL,,Trois Moulins Habitat ,,,,Weya,,,,2 - En fonctionnement,,,,,2,Collective,,,,112,<1 MW,,,,,,,,0,,,,,0,,0,,,
78,AUBERGENVILLE,Les Bains de Seine Mauldre (centre aquatique),Commune d'Aubergenville,,ENGIE,,,,2009,,2 - En fonctionnement,,,,,1,Collective,,Tertiaire,,,,,,Plaquette forestière (PFA-1A),,,,,0,,,,,0,172,172,49.87102322,580,<1 200 MWh/an
78,ACHÈRES,Champs de Villars,Champs de Villars,,ENGIE,,,,2015,,2 - En fonctionnement,,,,,1,Collective,Chaufferie sur réseau de chaleur,Résidentielle,Weiss,2500,>1 MW,,,Plaquette forestière (PFA-1A),,,,,0,,,,,0,3023,3023,733.6199484,8532,>1 200 MWh/an
77,SAINT-FARGEAU-PONTHIERRY,Collège Francois Villon,Commune de Saint-Fargeau-Ponthierry,,ENGIE,,COMPTE.R,,2018,,2 - En fonctionnement,,,,,1,Collective,,Tertiaire,,250,<1 MW,,,Plaquette forestière (PFA-1A),,,,,0,,,,,0,85,85,26.48323302,308,<1 200 MWh/an
77,OZOIR-LA-FERRIÈRE,Anne Franck,Commune d'Ozoir-la-Ferrière,,ENGIE,,,,,,2 - En fonctionnement,,,,,1,Collective,,Tertiaire,,,,,,Plaquette forestière (PFA-1A),,,,,0,,,,,0,715,715,207.6526225,2415,>1 200 MWh/an
77,ÉGREVILLE,Piscine d'Égreville,Commune d'Égreville,,,,Agronergy,,2015,,2 - En fonctionnement,,,,,1,Collective,Chaufferie dédiée,Tertiaire,,260,<1 MW,,,,,,,,0,,,,,0,,0,94.58297506,1100,<1 200 MWh/an
91,PALAISEAU,Résidence Sitelle et Verdier,Co-propriété Sitelle et Verdier,,,,Vecteur-Energie,,2012,,2 - En fonctionnement,,,,,2,Collective,Chaufferie dédiée,Résidentielle,Hargassner,300,<1 MW,,,Granulés,,,,,0,,,,,0,16.8,16.8,6.139294927,71.4,<1 200 MWh/an
95,PERSAN,Chaufferie Persan,ENGIE Cofely,,ENGIE (Cofely),,ENGIE (Cofely),"Coopératives linières (Lin 2000, coopérative du Vert Galant) situées en Picardie (pour 80 % de l’approvisionnement) et Haute Normandie (pour les 20 % restants), sites voisins de la chaufferie",2021,,4 - En projet,,,,,1,Collective,Chaufferie sur réseau de chaleur,Industrielle/Résidentielle,,3500,>1 MW,5500,gaz,Anas de lin,,,,,0,,,,,0,4175,4175,1351.6681,15719.9,>1 200 MWh/an
