Departement,Nom commune,Nom de la chaufferie,Annee,Production_estim_MWh
95,CHAUSSY,Ferme de la Bergerie,2011,697.8
95,ENGHIEN-LES-BAINS,Gymnase de la Coussaye,2010,337.27
95,FRANCONVILLE,Chaufferie des Montfrais,2014,50423
95,GARGES-LÈS-GONESSE,Collège Pablo Picasso,2009,1035.07
95,LASSY,Gasma,2005,2907.5
95,MONTMORENCY,,2008,267.49
95,NEUVILLE-SUR-OISE,SDIS,2010,1065.308
95,PIERRELAYE,Picheta,2009,139.56
95,PONTOISE,Rue Séré-Depoin,2009,117.6956
95,PUISEUX-PONTOISE,Centre horticole,2011,767.58
95,ROISSY-EN-FRANCE,Chaufferie biomasse de Roissy,2013,76839.41
95,SAINT-LEU-LA-FORÊT,Collège LANDOWSKI,2008,802.47
95,SAINT-OUEN-L'AUMÔNE,Chaufferie RCU Cergy-Pontoise,2009,119789
95,THÉMÉRICOURT,Chaufferie communale Théméricourt,2010,0
95,VIENNE-EN-ARTHIES,Ferme des Millonets,2007,58.15
92,VAUCRESSON,Haras de Jardy,,
92,VAUCRESSON,Club Housse Vaucresson,,
77,JOUY-LE-CHÂTEL,,,
78,AUBERGENVILLE,Les Bains de Seine Mauldre (centre aquatique),2009,580
78,ACHÈRES,Champs de Villars,2015,8532
77,SAINT-FARGEAU-PONTHIERRY,Collège Francois Villon,2018,308
77,OZOIR-LA-FERRIÈRE,Anne Franck,,2415
77,ÉGREVILLE,Piscine d'Égreville,2015,1100
91,PALAISEAU,Résidence Sitelle et Verdier,2012,71.4
95,PERSAN,Chaufferie Persan,2021,15719.9
